gene_name,PageRank0h,PageRank16h,Ratio
ANKRD50,3.40E-05,3.31E-05,0.97
BCKDHA,9.16E-05,8.89E-05,0.97
CEP83,5.05E-05,4.91E-05,0.97
PTPN6,0.000254002,0.000246655,0.97
TBPL1,7.21E-05,7.01E-05,0.97
TNK2,0.000149727,0.000145389,0.97
NR4A2,4.40E-05,4.28E-05,0.97
NDUFA10,0.000150368,0.000146004,0.97
CNTRL,0.000333045,0.000323378,0.97
HAGH,5.10E-05,4.95E-05,0.97
TFCP2,0.000169599,0.000164673,0.97
MAP3K3,0.000116009,0.000112639,0.97
MYH9,0.000732181,0.0007109,0.97
PGM3,6.06E-05,5.88E-05,0.97
NDUFS7,0.000292458,0.000283952,0.97
SCFD2,4.66E-05,4.52E-05,0.97
PHF20L1,8.38E-05,8.14E-05,0.97
PIK3R4,7.09E-05,6.89E-05,0.97
BCAR1,0.000161987,0.000157271,0.97
CDK10,5.01E-05,4.86E-05,0.97
FAM96A,4.98E-05,4.83E-05,0.97
RNF13,7.12E-05,6.91E-05,0.97
LIMK2,1.00E-04,9.71E-05,0.97
CLEC2I,9.54E-05,9.26E-05,0.97
SNX6,0.000157062,0.000152475,0.97
BCR,0.000171764,0.000166744,0.97
ING1,0.00012024,0.000116726,0.97
HDGFRP2,9.55E-05,9.27E-05,0.97
ACTR3,0.0002534,0.000245989,0.97
ACTR2,0.000338374,0.000328467,0.97
ALKBH5,2.71E-05,2.63E-05,0.97
MED13L,6.05E-05,5.88E-05,0.97
CYB5R3,9.82E-05,9.53E-05,0.97
OSBPL9,7.74E-05,7.51E-05,0.97
SUPT16,4.57E-05,4.43E-05,0.97
DOK1,0.00011325,0.000109912,0.97
TMEM161A,3.96E-05,3.84E-05,0.97
ACTN1,0.000315626,0.000306299,0.97
STK38L,6.71E-05,6.51E-05,0.97
COMMD8,0.000123265,0.000119619,0.97
OSBPL11,5.73E-05,5.56E-05,0.97
POT1,0.000434929,0.000422039,0.97
MYSM1,5.43E-05,5.27E-05,0.97
UROD,6.27E-05,6.08E-05,0.97
WDR11,5.39E-05,5.23E-05,0.97
FIG4,3.69E-05,3.58E-05,0.97
PAPSS1,0.000112234,0.000108899,0.97
MYH10,0.000232924,0.000226003,0.97
ARID5A,2.77E-05,2.69E-05,0.97
USP18,7.34E-05,7.12E-05,0.97
TAF3,7.40E-05,7.18E-05,0.97
PLEKHF2,0.000137899,0.000133795,0.97
HPS4,1.94E-05,1.88E-05,0.97
ENPP4,2.84E-05,2.75E-05,0.97
GDI1,0.000243473,0.000236207,0.97
RCOR3,9.90E-05,9.60E-05,0.97
SLC25A51,2.80E-05,2.72E-05,0.97
MKL2,5.65E-05,5.48E-05,0.97
HAUS4,9.63E-05,9.34E-05,0.97
GDA,0.000109019,0.000105752,0.97
PBX2,5.85E-05,5.67E-05,0.97
PPIH,0.000113715,0.000110306,0.97
COX7A2,7.52E-05,7.29E-05,0.97
PLCG1,0.000249235,0.00024176,0.97
GNAI3,0.000230484,0.00022357,0.97
NHLRC2,5.72E-05,5.55E-05,0.97
CLTB,0.000180235,0.000174821,0.97
NEIL1,2.60E-05,2.53E-05,0.97
KDM2A,8.81E-05,8.55E-05,0.97
DPYSL2,0.00020091,0.000194853,0.97
PRKAR1A,0.000197595,0.000191638,0.97
NUP210,0.000101087,9.80E-05,0.97
ELMSAN1,0.000100987,9.79E-05,0.97
SSBP2,4.22E-05,4.09E-05,0.97
NIN,0.000223557,0.000216796,0.97
TBCA,7.18E-05,6.97E-05,0.97
ASS1,0.000230888,0.000223897,0.97
SNRNP25,2.82E-05,2.74E-05,0.97
MAD1L1,0.00014463,0.000140248,0.97
CDADC1,2.91E-05,2.82E-05,0.97
STXBP2,5.49E-05,5.33E-05,0.97
SBF2,7.50E-05,7.27E-05,0.97
KATNB1,4.79E-05,4.65E-05,0.97
FKBP15,9.37E-05,9.08E-05,0.97
MYO18A,0.000359653,0.000348718,0.97
IFT80,3.33E-05,3.23E-05,0.97
RAB1,3.99E-05,3.87E-05,0.97
SUPT20H,6.47E-05,6.27E-05,0.97
NDUFAF7,5.76E-05,5.59E-05,0.97
STRA13,2.98E-05,2.89E-05,0.97
MBD1,8.32E-05,8.06E-05,0.97
PHPT1,7.36E-05,7.14E-05,0.97
TMEM173,0.000143409,0.000139017,0.97
SLC35E1,2.95E-05,2.86E-05,0.97
RPAIN,1.89E-05,1.83E-05,0.97
PPM1H,0.000182024,0.000176439,0.97
COX6B1,0.000130863,0.000126847,0.97
CYB5R4,1.83E-05,1.77E-05,0.97
FAM133B,3.36E-05,3.26E-05,0.97
PSAP,0.000115496,0.000111947,0.97
ACP1,0.000122704,0.00011893,0.97
PMPCA,0.000171255,0.000165987,0.97
SPR,0.000149182,0.000144588,0.97
FNBP4,6.23E-05,6.04E-05,0.97
GALNT7,8.57E-05,8.31E-05,0.97
FAM175B,0.00010901,0.000105647,0.97
IBA57,5.99E-05,5.80E-05,0.97
NECAP2,0.000107755,0.000104421,0.97
SEC24D,8.83E-05,8.56E-05,0.97
TSC22D1,0.000218657,0.000211888,0.97
GALNT4,3.27E-05,3.16E-05,0.97
CBX1,0.000212793,0.000206189,0.97
GLOD4,0.000111837,0.000108365,0.97
MORC3,6.28E-05,6.09E-05,0.97
RPS6KA1,0.000183599,0.000177894,0.97
SIKE1,9.30E-05,9.01E-05,0.97
TARSL2,7.27E-05,7.04E-05,0.97
TSC22D4,0.000172944,0.00016756,0.97
AP1M1,0.000141093,0.000136697,0.97
CRIPT,3.84E-05,3.72E-05,0.97
PIK3R2,0.00019483,0.000188747,0.97
ACBD5,5.24E-05,5.07E-05,0.97
HSPBAP1,3.12E-05,3.03E-05,0.97
OXSM,4.07E-05,3.95E-05,0.97
NCK2,0.000256748,0.000248724,0.97
PPIA,0.000456713,0.000442436,0.97
DOCK4,3.95E-05,3.83E-05,0.97
PIK3C3,0.000100287,9.72E-05,0.97
THYN1,3.99E-05,3.86E-05,0.97
CPEB3,9.82E-06,9.52E-06,0.97
OSGEP,0.000170184,0.000164847,0.97
GUF1,2.61E-05,2.53E-05,0.97
SNX30,2.58E-05,2.50E-05,0.97
ALDH1L1,5.85E-05,5.67E-05,0.97
TGFBRAP1,6.48E-05,6.28E-05,0.97
SH3KBP1,0.000440774,0.000426917,0.97
TMEM30A,0.000205348,0.000198891,0.97
ASH2L,0.000163279,0.000158141,0.97
ADAT1,2.64E-05,2.55E-05,0.97
BOD1,4.18E-05,4.05E-05,0.97
FAM114A2,3.81E-05,3.69E-05,0.97
SORBS1,9.08E-05,8.80E-05,0.97
NKIRAS2,4.63E-05,4.48E-05,0.97
PARP10,5.94E-05,5.75E-05,0.97
HK1,0.000146594,0.000141966,0.97
IDH3B,0.000110356,0.000106871,0.97
TAF6,0.000147377,0.000142721,0.97
SAP130,0.000119879,0.000116092,0.97
ZDHHC3,2.80E-05,2.71E-05,0.97
CENPO,6.16E-05,5.97E-05,0.97
RCCD1,5.35E-05,5.18E-05,0.97
KIF21B,9.38E-05,9.09E-05,0.97
MYL6B,8.26E-05,8.00E-05,0.97
PPM1A,0.000177235,0.00017162,0.97
UBP1,7.86E-05,7.61E-05,0.97
ST3GAL1,4.37E-05,4.23E-05,0.97
KCTD12,0.000118808,0.000115039,0.97
NDUFA12,0.000216461,0.000209585,0.97
LSM6,0.000142819,0.000138281,0.97
TEP1,2.39E-05,2.31E-05,0.97
DGKE,3.21E-05,3.11E-05,0.97
CIR1,5.44E-05,5.27E-05,0.97
FEZ2,6.13E-05,5.94E-05,0.97
ADNP2,4.63E-05,4.49E-05,0.97
FYCO1,0.000139832,0.000135369,0.97
ATG5,0.000100579,9.74E-05,0.97
EPG5,1.74E-05,1.69E-05,0.97
MDH2,0.000214549,0.000207693,0.97
KCTD1,3.17E-05,3.07E-05,0.97
ITFG1,3.34E-05,3.23E-05,0.97
BASP1,0.000140531,0.000136023,0.97
NANS,0.00015522,0.000150235,0.97
STAG2,0.000115553,0.000111842,0.97
DLGAP5,5.55E-05,5.37E-05,0.97
ARID1B,0.000124596,0.000120594,0.97
CASP2,7.71E-05,7.46E-05,0.97
S100A10,0.000109202,0.000105692,0.97
FAM63B,7.76E-05,7.51E-05,0.97
ACAT1,0.000190884,0.000184736,0.97
DGKQ,3.43E-05,3.32E-05,0.97
TAF6L,8.55E-05,8.27E-05,0.97
GALNT2,6.77E-05,6.56E-05,0.97
FGFR1OP2,0.000138649,0.000134179,0.97
ALDH16A1,6.46E-05,6.25E-05,0.97
ROCK1,0.000109347,0.000105819,0.97
HLTF,0.000133927,0.000129604,0.97
MAN2A2,5.43E-05,5.25E-05,0.97
TMEM222,3.07E-05,2.97E-05,0.97
CDK5RAP3,0.000107987,0.000104496,0.97
SACM1L,5.27E-05,5.10E-05,0.97
ANXA2,0.000307283,0.00029734,0.97
DYRK1A,0.000164524,0.0001592,0.97
CCSER2,3.76E-05,3.64E-05,0.97
CCDC90B,8.15E-05,7.89E-05,0.97
PCNXL3,2.77E-05,2.68E-05,0.97
FGR,6.24E-05,6.04E-05,0.97
CDC42BPB,5.17E-05,5.01E-05,0.97
TTYH3,5.61E-05,5.43E-05,0.97
PNPLA7,2.13E-05,2.06E-05,0.97
NDUFS8,0.000162818,0.000157523,0.97
GBAS,0.000149432,0.000144571,0.97
ARSK,4.16E-05,4.02E-05,0.97
FLNC,0.000196184,0.000189792,0.97
SP2,3.24E-05,3.14E-05,0.97
NUMB,0.000109497,0.000105925,0.97
RALGAPB,4.00E-05,3.87E-05,0.97
GMPPA,4.47E-05,4.33E-05,0.97
PARVG,6.21E-05,6.01E-05,0.97
PHKA2,4.78E-05,4.62E-05,0.97
USP28,0.000119357,0.000115455,0.97
RPRD2,8.76E-05,8.47E-05,0.97
EEF2K,9.73E-05,9.41E-05,0.97
ATF1,9.64E-05,9.32E-05,0.97
AGAP2,0.000386322,0.000373661,0.97
ENDOD1,3.94E-05,3.81E-05,0.97
SYK,0.000220945,0.000213701,0.97
VPS33A,7.97E-05,7.71E-05,0.97
PDCD10,0.000150933,0.000145977,0.97
ATG3,0.000115415,0.000111625,0.97
ACSL1,3.47E-05,3.36E-05,0.97
IKZF2,4.87E-05,4.71E-05,0.97
CTPS2,9.38E-05,9.08E-05,0.97
ADPGK,9.67E-05,9.36E-05,0.97
MYO1D,0.000103549,0.000100144,0.97
PARP16,7.37E-05,7.13E-05,0.97
INPP4A,3.06E-05,2.96E-05,0.97
ATP5I,0.000105896,0.000102407,0.97
MAU2,4.34E-05,4.19E-05,0.97
ALS2,3.24E-05,3.13E-05,0.97
SETX,9.56E-05,9.25E-05,0.97
SAP30L,4.30E-05,4.15E-05,0.97
PRDX6,0.000276127,0.000267007,0.97
PYGO2,5.46E-05,5.28E-05,0.97
ZBTB20,3.68E-05,3.56E-05,0.97
TNS3,5.75E-05,5.56E-05,0.97
FCHSD1,3.15E-05,3.04E-05,0.97
TLN1,0.000197524,0.000190976,0.97
HERC4,8.84E-05,8.55E-05,0.97
CORO1C,0.000276092,0.000266923,0.97
SMC6,0.000152108,0.000147055,0.97
ARHGAP10,4.38E-05,4.23E-05,0.97
ARHGDIA,0.000285862,0.000276355,0.97
HSPB11,3.32E-05,3.21E-05,0.97
RAI1,5.92E-05,5.73E-05,0.97
PHF14,7.67E-05,7.42E-05,0.97
STK3,0.000195354,0.000188839,0.97
U2AF1L4,3.02E-05,2.92E-05,0.97
ASPSCR1,0.000124969,0.000120787,0.97
DSTN,0.000282614,0.000273157,0.97
GCDH,6.11E-05,5.91E-05,0.97
HERC3,8.35E-05,8.07E-05,0.97
STXBP3,8.15E-05,7.88E-05,0.97
RB1CC1,0.000170857,0.000165106,0.97
MTMR9,6.06E-05,5.85E-05,0.97
RAB22A,4.62E-05,4.46E-05,0.97
PKN1,0.000138368,0.000133704,0.97
RHBDD1,2.12E-05,2.04E-05,0.97
CYGB,1.06E-05,1.02E-05,0.97
SKAP1,0.000226949,0.00021928,0.97
GNAQ,0.000144254,0.000139378,0.97
ZFP446,1.33E-05,1.28E-05,0.97
KDELR1,7.00E-05,6.77E-05,0.97
MAGOHB,9.86E-05,9.52E-05,0.97
C330027C09RIK,1.39E-05,1.34E-05,0.97
STX17,5.13E-05,4.96E-05,0.97
SNTB2,7.16E-05,6.92E-05,0.97
NUCB2,5.44E-05,5.26E-05,0.97
GSS,8.96E-05,8.65E-05,0.97
FADD,0.000150587,0.000145477,0.97
CLIC1,0.000146856,0.000141868,0.97
FBXW2,4.10E-05,3.96E-05,0.97
PCYOX1,4.34E-05,4.20E-05,0.97
RAP1GDS1,0.000200543,0.000193722,0.97
FAM177A1,7.95E-05,7.68E-05,0.97
ALOX5,0.000153295,0.000148073,0.97
CCDC92,8.04E-05,7.76E-05,0.97
PLEC,0.00029795,0.000287772,0.97
AHNAK,0.000244469,0.000236114,0.97
DNM2,0.000245758,0.000237352,0.97
NDUFC2,7.49E-05,7.23E-05,0.97
ADI1,8.63E-05,8.34E-05,0.97
MTPN,0.000110954,0.000107152,0.97
PRKACB,0.000184639,0.000178311,0.97
BCAS3,8.57E-05,8.28E-05,0.97
CHFR,9.24E-05,8.92E-05,0.97
ZBTB14,0.000107101,0.000103424,0.97
PTGS1,2.06E-05,1.99E-05,0.97
MYL12A,0.00016884,0.000163033,0.97
PAN3,5.28E-05,5.10E-05,0.97
RAB35,8.91E-05,8.60E-05,0.97
PARN,6.30E-05,6.08E-05,0.97
VPS25,9.18E-05,8.86E-05,0.97
DHFR,5.02E-05,4.84E-05,0.97
MAP4K3,3.56E-05,3.44E-05,0.97
GYS1,7.76E-05,7.49E-05,0.97
GLB1,0.000116703,0.000112646,0.97
KCNAB2,9.73E-05,9.39E-05,0.97
TBC1D5,6.10E-05,5.89E-05,0.97
PDIA5,7.61E-05,7.34E-05,0.97
PARP4,3.92E-05,3.78E-05,0.97
DOCK9,4.37E-05,4.22E-05,0.97
LARS2,8.24E-05,7.95E-05,0.97
NSMCE2,8.33E-05,8.04E-05,0.97
FECH,0.000101812,9.83E-05,0.97
DNAJC14,2.33E-05,2.25E-05,0.97
PTDSS2,1.91E-05,1.84E-05,0.97
HAUS3,8.32E-05,8.03E-05,0.97
TMC6,1.87E-05,1.81E-05,0.97
BRD8,7.60E-05,7.33E-05,0.97
TNFAIP8,8.40E-05,8.11E-05,0.97
ARRDC1,8.84E-05,8.53E-05,0.97
DCTN3,0.000113882,0.000109898,0.97
CBFB,8.17E-05,7.89E-05,0.96
ERCC1,8.10E-05,7.82E-05,0.96
COMMD4,0.000126376,0.000121942,0.96
TBC1D10A,3.87E-05,3.74E-05,0.96
HNRNPUL2,0.000157663,0.000152123,0.96
ABHD11,5.96E-05,5.75E-05,0.96
KMT2C,7.88E-05,7.60E-05,0.96
RAPGEF1,6.54E-05,6.31E-05,0.96
OBFC1,0.000171637,0.0001656,0.96
TOP2B,0.000184603,0.000178084,0.96
BMP2K,9.99E-05,9.63E-05,0.96
FAM172A,2.65E-05,2.55E-05,0.96
TPI1,0.000305397,0.0002946,0.96
CYFIP2,0.000175677,0.000169466,0.96
POLL,6.59E-05,6.36E-05,0.96
CDC42,0.000449005,0.000433123,0.96
TADA1,6.90E-05,6.65E-05,0.96
NANP,3.87E-05,3.73E-05,0.96
PEA15,0.000125887,0.000121426,0.96
HDAC8,0.000152387,0.000146985,0.96
FAM102B,2.86E-05,2.76E-05,0.96
ST8SIA4,0.000103399,9.97E-05,0.96
ABCD4,2.03E-05,1.96E-05,0.96
DHRS4,0.000134816,0.000130022,0.96
KIAA1033,9.13E-05,8.80E-05,0.96
GNE,6.78E-05,6.54E-05,0.96
LIN52,3.78E-05,3.65E-05,0.96
BRE,0.000113542,0.000109499,0.96
FUOM,5.18E-05,4.99E-05,0.96
ARPC2,0.000205095,0.000197785,0.96
COX5B,0.000104974,0.000101231,0.96
NHSL2,4.90E-05,4.73E-05,0.96
GBE1,8.35E-05,8.05E-05,0.96
GALE,8.21E-05,7.92E-05,0.96
PRDX5,0.00020845,0.000201012,0.96
WDR47,3.34E-05,3.22E-05,0.96
SPRYD3,2.79E-05,2.69E-05,0.96
KIAA0100,2.92E-05,2.82E-05,0.96
GPD2,6.91E-05,6.67E-05,0.96
IARS2,0.000116954,0.000112769,0.96
AP2S1,0.000120411,0.0001161,0.96
STRIP1,0.000115268,0.000111136,0.96
STK4,0.000182575,0.000176025,0.96
CDKN2AIP,0.000119158,0.00011488,0.96
OTULIN,7.05E-05,6.79E-05,0.96
ECHS1,0.000175503,0.000169199,0.96
PDP1,7.11E-05,6.85E-05,0.96
PDK3,0.000111891,0.000107871,0.96
GMDS,8.38E-05,8.07E-05,0.96
DGAT1,2.21E-05,2.13E-05,0.96
DHRS11,2.58E-05,2.49E-05,0.96
RHOA,0.000380371,0.000366644,0.96
PPP3CC,9.46E-05,9.11E-05,0.96
NDUFA5,0.00012888,0.000124226,0.96
ESYT1,0.000118981,0.000114676,0.96
VASP,0.000207095,0.000199593,0.96
COX6C,0.000105488,0.000101666,0.96
CYB5R1,4.78E-05,4.61E-05,0.96
SHISA5,1.54E-05,1.48E-05,0.96
BRPF1,6.55E-05,6.31E-05,0.96
CEP350,8.68E-05,8.37E-05,0.96
LAT,0.000134822,0.000129917,0.96
TRP53BP1,6.63E-05,6.39E-05,0.96
CD55,6.76E-05,6.51E-05,0.96
ZNF592,6.67E-05,6.43E-05,0.96
DOCK7,0.000185916,0.000179135,0.96
TFDP2,4.56E-05,4.39E-05,0.96
GSTK1,0.000120683,0.000116281,0.96
ZMYND8,0.000138497,0.000133444,0.96
SERAC1,1.70E-05,1.64E-05,0.96
RRAS,5.77E-05,5.56E-05,0.96
STARD3NL,1.29E-05,1.24E-05,0.96
AGPAT1,3.57E-05,3.44E-05,0.96
WDR1,0.000272025,0.000262084,0.96
BNIP3L,6.47E-05,6.24E-05,0.96
UBLCP1,0.000107203,0.000103281,0.96
MPP1,0.000112236,0.000108125,0.96
SCLY,0.000100243,9.66E-05,0.96
BRK1,7.29E-05,7.03E-05,0.96
STRN,0.000179673,0.000173078,0.96
CRYZ,6.68E-05,6.43E-05,0.96
DCP1B,9.37E-05,9.03E-05,0.96
TRPC2,1.57E-05,1.52E-05,0.96
TAF9B,8.27E-05,7.96E-05,0.96
SLC9A6,8.24E-05,7.94E-05,0.96
ARPC3,0.000190847,0.000183823,0.96
GBA2,3.83E-05,3.69E-05,0.96
SOD2,0.000130148,0.000125349,0.96
LEMD2,5.06E-05,4.88E-05,0.96
STAT2,0.000116414,0.000112116,0.96
TANC2,8.03E-05,7.73E-05,0.96
GRAMD3,8.17E-05,7.87E-05,0.96
PTPLAD1,0.000117793,0.000113434,0.96
MAD2L1BP,7.32E-05,7.05E-05,0.96
GPR108,2.58E-05,2.48E-05,0.96
STX2,5.10E-05,4.91E-05,0.96
FOXN3,4.22E-05,4.06E-05,0.96
UVSSA,5.07E-05,4.88E-05,0.96
IQGAP3,6.92E-05,6.66E-05,0.96
ALDH9A1,6.84E-05,6.59E-05,0.96
ARHGAP1,0.000101207,9.74E-05,0.96
GNB4,0.000113811,0.000109583,0.96
SCP2,0.000122974,0.000118402,0.96
GALT,3.59E-05,3.46E-05,0.96
PHF1,8.34E-05,8.03E-05,0.96
POC5,0.000169968,0.000163639,0.96
POLG,5.10E-05,4.91E-05,0.96
SPCS2,0.000102493,9.87E-05,0.96
IMPA2,0.000109391,0.00010531,0.96
LCK,0.000248755,0.000239449,0.96
TMEM208,2.48E-05,2.39E-05,0.96
SWSAP1,2.34E-05,2.25E-05,0.96
ZFP219,2.44E-05,2.35E-05,0.96
GPAA1,6.37E-05,6.13E-05,0.96
SYNJ1,9.85E-05,9.48E-05,0.96
TRNT1,0.000100975,9.72E-05,0.96
NDUFV3,0.000103585,9.97E-05,0.96
MTMR10,3.77E-05,3.63E-05,0.96
PPP2R4,0.000150077,0.00014441,0.96
PDS5A,0.000115788,0.000111413,0.96
PHRF1,5.87E-05,5.65E-05,0.96
MAP4K5,4.41E-05,4.24E-05,0.96
RPP21,3.01E-05,2.90E-05,0.96
LRRC25,1.98E-05,1.90E-05,0.96
ALDH7A1,0.000113253,0.000108955,0.96
PRKAG1,0.000123706,0.00011901,0.96
SNX18,6.09E-05,5.86E-05,0.96
CPNE1,6.52E-05,6.27E-05,0.96
MPPE1,0.000160613,0.000154512,0.96
ZNF639,4.08E-05,3.93E-05,0.96
DARS2,5.44E-05,5.24E-05,0.96
PLCG2,7.71E-05,7.42E-05,0.96
SEC22A,3.41E-05,3.28E-05,0.96
NUP37,6.75E-05,6.49E-05,0.96
CHMP2B,9.63E-05,9.27E-05,0.96
PTPN12,0.000135604,0.000130435,0.96
WDR90,4.25E-05,4.09E-05,0.96
BCL2L13,4.72E-05,4.54E-05,0.96
NDUFA11,0.000120295,0.000115706,0.96
ARHGAP5,3.13E-05,3.01E-05,0.96
LACTB2,7.75E-05,7.46E-05,0.96
MTUS1,4.51E-05,4.33E-05,0.96
STX16,4.47E-05,4.30E-05,0.96
BCL7A,0.000153922,0.000148042,0.96
ETFA,0.000241288,0.000232061,0.96
HMCN1,1.77E-05,1.71E-05,0.96
WAS,0.000193438,0.00018603,0.96
LCLAT1,4.05E-05,3.89E-05,0.96
ARPC1B,0.000189524,0.000182255,0.96
SDHD,1.74E-05,1.68E-05,0.96
ZBTB2,5.99E-05,5.76E-05,0.96
AP1S1,6.84E-05,6.58E-05,0.96
SYNRG,6.07E-05,5.84E-05,0.96
HMBS,4.89E-05,4.70E-05,0.96
TRAF3IP3,9.57E-05,9.20E-05,0.96
AP3D1,0.000136007,0.000130772,0.96
LMNB2,0.000126545,0.000121673,0.96
DRAP1,9.11E-05,8.76E-05,0.96
TBC1D31,6.07E-05,5.84E-05,0.96
ST8SIA1,4.61E-05,4.43E-05,0.96
NUDT2,1.62E-05,1.55E-05,0.96
IL6ST,6.08E-05,5.84E-05,0.96
DNMBP,5.67E-05,5.46E-05,0.96
NDUFB6,8.11E-05,7.79E-05,0.96
CDH23,3.48E-05,3.34E-05,0.96
APIP,6.47E-05,6.22E-05,0.96
RAP2C,6.50E-05,6.25E-05,0.96
PRKAG2,7.68E-05,7.38E-05,0.96
ZSCAN21,2.76E-05,2.65E-05,0.96
RSU1,0.000109413,0.000105156,0.96
SLC25A11,0.000181216,0.000174161,0.96
PARG,2.25E-05,2.16E-05,0.96
ACO1,6.99E-05,6.72E-05,0.96
RCAN3,3.92E-05,3.76E-05,0.96
TRAPPC1,7.66E-05,7.36E-05,0.96
SHOC2,5.68E-05,5.46E-05,0.96
PRDM2,2.30E-05,2.21E-05,0.96
CPOX,5.10E-05,4.90E-05,0.96
SGK223,3.23E-05,3.10E-05,0.96
FAM45A,7.02E-05,6.75E-05,0.96
ZRSR1,2.02E-05,1.94E-05,0.96
ASL,6.23E-05,5.99E-05,0.96
ALG2,6.78E-05,6.52E-05,0.96
ARPC4,0.000197326,0.000189605,0.96
SDCCAG8,3.21E-05,3.08E-05,0.96
KDSR,6.84E-05,6.57E-05,0.96
ACOT9,7.87E-05,7.56E-05,0.96
TEC,6.17E-05,5.92E-05,0.96
PPP3CA,0.000183066,0.000175872,0.96
CDK19,0.000155898,0.000149762,0.96
TOR1AIP1,0.00010974,0.000105418,0.96
PNPLA8,3.00E-05,2.88E-05,0.96
BRD3,8.95E-05,8.60E-05,0.96
DCK,8.57E-05,8.23E-05,0.96
DHRS1,2.45E-05,2.35E-05,0.96
PPIL1,9.45E-05,9.08E-05,0.96
HAUS5,8.19E-05,7.87E-05,0.96
KIF1B,0.000137204,0.000131778,0.96
PRPF38B,7.81E-05,7.50E-05,0.96
PTPRE,0.000128887,0.000123777,0.96
MSL3,4.41E-05,4.24E-05,0.96
TANGO2,7.99E-05,7.67E-05,0.96
PEX11B,3.85E-05,3.69E-05,0.96
ANGEL2,5.74E-05,5.51E-05,0.96
ARF2,3.28E-05,3.15E-05,0.96
HRSP12,6.40E-05,6.15E-05,0.96
FLAD1,7.12E-05,6.84E-05,0.96
ANO6,6.30E-05,6.05E-05,0.96
CORO1B,0.000183089,0.000175786,0.96
ANP32A,0.000162209,0.000155738,0.96
PLEKHM1,2.90E-05,2.79E-05,0.96
VARS2,4.37E-05,4.20E-05,0.96
CFL1,0.000429476,0.000412327,0.96
NFIX,5.49E-05,5.27E-05,0.96
NEK1,6.14E-05,5.90E-05,0.96
MKL1,6.69E-05,6.42E-05,0.96
DGUOK,0.000132089,0.000126796,0.96
RAC1,0.000490671,0.000471003,0.96
NFATC3,6.04E-05,5.79E-05,0.96
KLRB1C,9.65E-05,9.27E-05,0.96
ARHGAP32,0.000110504,0.000106069,0.96
GATC,6.04E-05,5.79E-05,0.96
ATPAF1,3.20E-05,3.07E-05,0.96
ARL6IP4,9.07E-05,8.70E-05,0.96
AIDA,3.62E-05,3.48E-05,0.96
BET1,5.05E-05,4.85E-05,0.96
TALDO1,0.000226483,0.000217369,0.96
ADCY6,3.07E-05,2.95E-05,0.96
NTPCR,7.89E-05,7.57E-05,0.96
ATP2A1,6.42E-05,6.16E-05,0.96
CAT,0.000150412,0.000144349,0.96
PPP2R3C,5.10E-05,4.90E-05,0.96
IDH1,0.000159895,0.000153449,0.96
NR2C2,0.000114109,0.000109505,0.96
MEX3B,5.18E-05,4.98E-05,0.96
ZCCHC11,4.89E-05,4.69E-05,0.96
LASP1,0.000222723,0.000213725,0.96
AKAP8L,9.59E-05,9.21E-05,0.96
TMCO6,3.44E-05,3.30E-05,0.96
CISD2,7.80E-05,7.48E-05,0.96
DNM1,0.000208554,0.000200111,0.96
PDE4D,0.000111181,0.000106678,0.96
HMGCL,7.53E-05,7.22E-05,0.96
COQ3,5.63E-05,5.40E-05,0.96
GABPB2,3.62E-05,3.47E-05,0.96
GLRX,5.85E-05,5.61E-05,0.96
SLC9A1,7.72E-05,7.41E-05,0.96
GALC,3.84E-05,3.68E-05,0.96
CASP1,6.30E-05,6.04E-05,0.96
TOR3A,3.70E-05,3.55E-05,0.96
ISOC1,0.000127694,0.000122497,0.96
PPP1R12C,4.22E-05,4.05E-05,0.96
PDE3A,6.05E-05,5.80E-05,0.96
RNASEH2C,3.53E-05,3.39E-05,0.96
RPE,0.000129218,0.000123952,0.96
RARS2,6.49E-05,6.23E-05,0.96
NHLRC3,2.83E-05,2.71E-05,0.96
SSBP3,9.33E-05,8.95E-05,0.96
BICD1,3.92E-05,3.76E-05,0.96
TRIM30A,2.77E-05,2.66E-05,0.96
ITPR1,0.000125309,0.000120187,0.96
MCCC2,0.000101479,9.73E-05,0.96
SELT,2.95E-05,2.83E-05,0.96
RREB1,3.76E-05,3.60E-05,0.96
MCCC1,8.56E-05,8.21E-05,0.96
COMMD9,6.51E-05,6.25E-05,0.96
SLC27A4,5.86E-05,5.62E-05,0.96
ACAD10,5.54E-05,5.31E-05,0.96
RTN4IP1,5.59E-05,5.36E-05,0.96
APOO,3.18E-05,3.05E-05,0.96
RAP2A,8.50E-05,8.15E-05,0.96
EZR,0.000373104,0.000357765,0.96
PPP3CB,0.000130483,0.000125119,0.96
DALRD3,2.28E-05,2.19E-05,0.96
RRM2B,5.01E-05,4.80E-05,0.96
LRRC7,5.34E-05,5.12E-05,0.96
GCLC,5.01E-05,4.80E-05,0.96
ERMP1,4.45E-05,4.26E-05,0.96
DR1,0.000113397,0.000108714,0.96
ACAA2,0.000180669,0.000173204,0.96
KLHL25,3.34E-05,3.21E-05,0.96
SCAMP2,4.76E-05,4.56E-05,0.96
FRYL,7.37E-05,7.07E-05,0.96
CAP1,0.000167521,0.000160578,0.96
MAP3K15,1.63E-05,1.56E-05,0.96
PRKCB,0.000206379,0.000197817,0.96
LMF1,3.32E-05,3.18E-05,0.96
NT5C3A,5.51E-05,5.28E-05,0.96
ZFYVE26,3.55E-05,3.40E-05,0.96
